tick_idx,tick_ts,gt_label,vad_active,rgb,a30,a50,a70,eL,lx,ly,eR,rx,ry,eT,tx,ty,eO,ox,oy
40,1781507025204557568,Teleoperator,1,040_rgb.jpg,040_a30.jpg,040_a50.jpg,040_a70.jpg,0.000,307,393,0.000,681,414,0.345,532,835,0.000,0,0
41,1781507025454557568,Teleoperator,1,041_rgb.jpg,041_a30.jpg,041_a50.jpg,041_a70.jpg,0.008,303,419,0.000,682,415,0.337,531,831,0.004,531,103
42,1781507025704557568,Teleoperator,1,042_rgb.jpg,042_a30.jpg,042_a50.jpg,042_a70.jpg,0.004,303,431,0.000,682,415,0.349,530,833,0.000,0,0
43,1781507025954557568,Teleoperator,1,043_rgb.jpg,043_a30.jpg,043_a50.jpg,043_a70.jpg,0.000,304,394,0.000,681,413,0.369,531,834,0.000,0,0
44,1781507026204557568,Others,0,044_rgb.jpg,044_a30.jpg,044_a50.jpg,044_a70.jpg,0.086,310,444,0.000,679,413,0.000,604,645,0.129,519,95
45,1781507026454557568,Others,0,045_rgb.jpg,045_a30.jpg,045_a50.jpg,045_a70.jpg,0.412,297,435,0.004,803,467,0.000,528,645,0.424,527,100
46,1781507026704557568,Teleoperator,1,046_rgb.jpg,046_a30.jpg,046_a50.jpg,046_a70.jpg,0.000,300,391,0.000,679,414,0.349,530,836,0.000,0,0
47,1781507026954557568,Teleoperator,1,047_rgb.jpg,047_a30.jpg,047_a50.jpg,047_a70.jpg,0.000,300,390,0.000,681,415,1.000,481,645,0.090,483,517
48,1781507027204557568,Teleoperator,1,048_rgb.jpg,048_a30.jpg,048_a50.jpg,048_a70.jpg,0.000,297,387,0.000,680,413,1.000,430,645,0.455,489,523
49,1781507027454557568,Teleoperator,1,049_rgb.jpg,049_a30.jpg,049_a50.jpg,049_a70.jpg,0.000,296,384,0.000,679,413,0.612,513,650,0.024,510,515
50,1781507027704557568,Teleoperator,1,050_rgb.jpg,050_a30.jpg,050_a50.jpg,050_a70.jpg,0.000,296,384,0.000,678,397,0.106,531,845,0.000,0,0
51,1781507027954557568,Teleoperator,1,051_rgb.jpg,051_a30.jpg,051_a50.jpg,051_a70.jpg,0.000,296,384,0.000,676,391,1.000,532,818,0.004,524,96
52,1781507028204557568,Teleoperator,1,052_rgb.jpg,052_a30.jpg,052_a50.jpg,052_a70.jpg,0.000,296,384,0.000,673,388,1.000,532,818,0.000,0,0
53,1781507028454557568,Teleoperator,1,053_rgb.jpg,053_a30.jpg,053_a50.jpg,053_a70.jpg,0.000,296,384,0.000,672,387,0.471,531,817,0.031,513,470
54,1781507028704557568,Teleoperator,1,054_rgb.jpg,054_a30.jpg,054_a50.jpg,054_a70.jpg,0.020,296,427,0.000,670,382,0.298,531,837,0.016,231,395
55,1781507028954557568,Left,0,055_rgb.jpg,055_a30.jpg,055_a50.jpg,055_a70.jpg,0.604,349,445,0.125,765,440,0.000,377,645,0.016,900,258
56,1781507029204557568,Left,0,056_rgb.jpg,056_a30.jpg,056_a50.jpg,056_a70.jpg,0.702,353,447,0.024,767,441,0.000,377,645,0.020,363,281
57,1781507029454557568,Left,0,057_rgb.jpg,057_a30.jpg,057_a50.jpg,057_a70.jpg,0.906,329,454,0.000,676,388,0.000,428,645,0.216,308,377
58,1781507029704557568,Left,0,058_rgb.jpg,058_a30.jpg,058_a50.jpg,058_a70.jpg,0.824,299,442,0.016,804,441,0.000,462,645,0.600,242,399
59,1781507029954557568,Left,0,059_rgb.jpg,059_a30.jpg,059_a50.jpg,059_a70.jpg,0.820,297,436,0.031,804,451,0.000,458,645,0.639,236,393
60,1781507030204557568,Others,0,060_rgb.jpg,060_a30.jpg,060_a50.jpg,060_a70.jpg,0.667,294,443,0.106,800,460,0.000,492,645,0.706,261,438
61,1781507030454557568,Others,0,061_rgb.jpg,061_a30.jpg,061_a50.jpg,061_a70.jpg,0.678,299,447,0.043,811,452,0.000,489,645,0.694,211,435
62,1781507030704557568,Others,0,062_rgb.jpg,062_a30.jpg,062_a50.jpg,062_a70.jpg,0.604,302,434,0.082,801,454,0.000,461,645,0.686,194,400
63,1781507030954557568,Right,0,063_rgb.jpg,063_a30.jpg,063_a50.jpg,063_a70.jpg,0.000,299,389,0.835,749,427,0.000,377,645,0.098,793,336
64,1781507031204557568,Right,0,064_rgb.jpg,064_a30.jpg,064_a50.jpg,064_a70.jpg,0.000,299,388,0.824,749,430,0.000,377,645,0.075,793,339
65,1781507031454557568,Left,0,065_rgb.jpg,065_a30.jpg,065_a50.jpg,065_a70.jpg,0.863,309,445,0.184,750,433,0.000,377,645,0.235,288,374
66,1781507031704557568,Left,0,066_rgb.jpg,066_a30.jpg,066_a50.jpg,066_a70.jpg,0.922,324,446,0.000,676,385,0.000,460,645,0.318,289,367
67,1781507031954557568,Left,1,067_rgb.jpg,067_a30.jpg,067_a50.jpg,067_a70.jpg,0.910,324,452,0.035,763,430,0.000,513,645,0.278,285,371
68,1781507032204557568,Right,1,068_rgb.jpg,068_a30.jpg,068_a50.jpg,068_a70.jpg,0.000,300,391,0.847,732,443,0.000,377,645,0.110,750,353
69,1781507032454557568,Teleoperator,1,069_rgb.jpg,069_a30.jpg,069_a50.jpg,069_a70.jpg,0.000,295,387,0.000,680,397,1.000,515,768,0.004,528,97
70,1781507032704557568,Teleoperator,1,070_rgb.jpg,070_a30.jpg,070_a50.jpg,070_a70.jpg,0.000,295,386,0.000,680,392,1.000,481,645,0.251,542,100
71,1781507032954557568,Teleoperator,1,071_rgb.jpg,071_a30.jpg,071_a50.jpg,071_a70.jpg,0.000,295,387,0.000,680,391,1.000,515,667,0.031,529,105
72,1781507033204557568,Right,1,072_rgb.jpg,072_a30.jpg,072_a50.jpg,072_a70.jpg,0.000,296,387,0.886,734,452,0.000,377,645,0.192,767,363
73,1781507033454557568,Right,1,073_rgb.jpg,073_a30.jpg,073_a50.jpg,073_a70.jpg,0.000,295,387,0.875,731,461,0.000,377,645,0.157,751,371
74,1781507033704557568,Right,0,074_rgb.jpg,074_a30.jpg,074_a50.jpg,074_a70.jpg,0.000,297,388,0.820,748,453,0.000,377,645,0.051,776,369
75,1781507033954557568,Right,0,075_rgb.jpg,075_a30.jpg,075_a50.jpg,075_a70.jpg,0.000,299,391,0.682,716,476,0.000,377,645,0.004,695,382
76,1781507034204557568,Right,0,076_rgb.jpg,076_a30.jpg,076_a50.jpg,076_a70.jpg,0.000,300,388,0.839,717,478,0.000,377,645,0.078,729,394
77,1781507034454557568,Right,0,077_rgb.jpg,077_a30.jpg,077_a50.jpg,077_a70.jpg,0.000,300,388,0.878,727,474,0.000,377,645,0.141,727,383
78,1781507034704557568,Left,0,078_rgb.jpg,078_a30.jpg,078_a50.jpg,078_a70.jpg,0.796,303,437,0.118,767,478,0.000,467,645,0.631,241,395
79,1781507034954557568,Right,0,079_rgb.jpg,079_a30.jpg,079_a50.jpg,079_a70.jpg,0.000,306,393,0.831,733,455,0.000,377,645,0.102,750,358
80,1781507035204557568,Right,0,080_rgb.jpg,080_a30.jpg,080_a50.jpg,080_a70.jpg,0.000,305,392,0.894,731,437,0.000,377,645,0.169,748,351
81,1781507035454557568,Left,0,081_rgb.jpg,081_a30.jpg,081_a50.jpg,081_a70.jpg,0.784,307,439,0.039,780,423,0.000,479,645,0.667,243,404
82,1781507035704557568,Teleoperator,1,082_rgb.jpg,082_a30.jpg,082_a50.jpg,082_a70.jpg,0.035,306,428,0.008,749,413,0.318,530,836,0.031,224,386
83,1781507035954557568,Teleoperator,1,083_rgb.jpg,083_a30.jpg,083_a50.jpg,083_a70.jpg,0.000,305,390,0.000,678,413,0.310,531,837,0.000,0,0
84,1781507036204557568,Teleoperator,1,084_rgb.jpg,084_a30.jpg,084_a50.jpg,084_a70.jpg,0.000,305,391,0.000,679,413,0.153,531,844,0.000,0,0
85,1781507036454557568,Teleoperator,1,085_rgb.jpg,085_a30.jpg,085_a50.jpg,085_a70.jpg,0.000,306,392,0.000,677,411,0.765,536,842,0.000,0,0
86,1781507036704557568,Teleoperator,1,086_rgb.jpg,086_a30.jpg,086_a50.jpg,086_a70.jpg,0.000,306,391,0.000,680,414,1.000,515,700,0.020,530,532
87,1781507036954557568,Teleoperator,1,087_rgb.jpg,087_a30.jpg,087_a50.jpg,087_a70.jpg,0.004,423,440,0.000,680,414,1.000,413,645,0.992,548,514
88,1781507037204557568,Teleoperator,1,088_rgb.jpg,088_a30.jpg,088_a50.jpg,088_a70.jpg,0.000,306,391,0.000,680,414,0.533,528,657,0.024,522,505
89,1781507037454557568,Teleoperator,1,089_rgb.jpg,089_a30.jpg,089_a50.jpg,089_a70.jpg,0.000,307,391,0.000,680,415,0.416,530,823,0.000,0,0
90,1781507037704557568,Teleoperator,1,090_rgb.jpg,090_a30.jpg,090_a50.jpg,090_a70.jpg,0.000,307,391,0.000,675,411,0.576,529,773,0.016,531,465
91,1781507037954557568,Teleoperator,1,091_rgb.jpg,091_a30.jpg,091_a50.jpg,091_a70.jpg,0.000,306,391,0.000,676,412,0.600,529,763,0.031,528,470
92,1781507038204557568,Teleoperator,1,092_rgb.jpg,092_a30.jpg,092_a50.jpg,092_a70.jpg,0.000,308,393,0.000,676,411,0.675,531,754,0.032,530,498
93,1781507038454557568,Teleoperator,1,093_rgb.jpg,093_a30.jpg,093_a50.jpg,093_a70.jpg,0.000,306,392,0.000,679,412,0.259,530,837,0.000,0,0
94,1781507038704557568,Teleoperator,1,094_rgb.jpg,094_a30.jpg,094_a50.jpg,094_a70.jpg,0.000,305,391,0.000,679,412,0.220,531,841,0.000,0,0
95,1781507038954557568,Teleoperator,1,095_rgb.jpg,095_a30.jpg,095_a50.jpg,095_a70.jpg,0.000,305,392,0.000,680,414,0.412,531,837,0.000,0,0
96,1781507039204557568,Teleoperator,1,096_rgb.jpg,096_a30.jpg,096_a50.jpg,096_a70.jpg,0.000,306,393,0.000,678,412,0.537,531,816,0.004,526,100
97,1781507039454557568,Teleoperator,1,097_rgb.jpg,097_a30.jpg,097_a50.jpg,097_a70.jpg,0.000,306,394,0.000,680,413,0.514,531,826,0.000,0,0
98,1781507039704557568,Teleoperator,1,098_rgb.jpg,098_a30.jpg,098_a50.jpg,098_a70.jpg,0.000,304,389,0.000,679,413,0.447,531,834,0.000,0,0
99,1781507039954557568,Teleoperator,1,099_rgb.jpg,099_a30.jpg,099_a50.jpg,099_a70.jpg,0.000,302,389,0.000,679,412,0.569,530,758,0.078,531,444
100,1781507040204557568,Teleoperator,1,100_rgb.jpg,100_a30.jpg,100_a50.jpg,100_a70.jpg,0.000,302,388,0.000,679,412,0.702,531,710,0.137,528,458
101,1781507040454557568,Teleoperator,1,101_rgb.jpg,101_a30.jpg,101_a50.jpg,101_a70.jpg,0.000,305,393,0.000,679,412,0.655,531,739,0.145,529,473
102,1781507040704557568,Teleoperator,1,102_rgb.jpg,102_a30.jpg,102_a50.jpg,102_a70.jpg,0.180,328,470,0.000,679,412,0.408,529,838,0.086,302,417
103,1781507040954557568,Teleoperator,1,103_rgb.jpg,103_a30.jpg,103_a50.jpg,103_a70.jpg,0.000,303,390,0.000,679,412,0.200,531,842,0.000,0,0
104,1781507041204557568,Teleoperator,1,104_rgb.jpg,104_a30.jpg,104_a50.jpg,104_a70.jpg,0.000,303,390,0.000,680,412,0.224,531,840,0.000,0,0
105,1781507041454557568,Teleoperator,1,105_rgb.jpg,105_a30.jpg,105_a50.jpg,105_a70.jpg,0.000,303,390,0.000,680,413,0.416,531,828,0.000,0,0
106,1781507041704557568,Teleoperator,1,106_rgb.jpg,106_a30.jpg,106_a50.jpg,106_a70.jpg,0.000,303,390,0.000,680,412,0.416,532,834,0.000,0,0
107,1781507041954557568,Teleoperator,1,107_rgb.jpg,107_a30.jpg,107_a50.jpg,107_a70.jpg,0.000,304,388,0.000,677,411,0.224,531,841,0.000,0,0
108,1781507042204557568,Teleoperator,1,108_rgb.jpg,108_a30.jpg,108_a50.jpg,108_a70.jpg,0.000,304,391,0.000,679,412,0.337,531,838,0.000,0,0
109,1781507042454557568,Teleoperator,1,109_rgb.jpg,109_a30.jpg,109_a50.jpg,109_a70.jpg,0.000,303,387,0.000,680,412,0.533,532,825,0.000,0,0
110,1781507042704557568,Teleoperator,1,110_rgb.jpg,110_a30.jpg,110_a50.jpg,110_a70.jpg,0.275,346,465,0.000,680,412,0.322,530,837,0.075,299,400
111,1781507042954557568,Left,0,111_rgb.jpg,111_a30.jpg,111_a50.jpg,111_a70.jpg,0.890,344,469,0.000,678,412,0.000,495,645,0.302,299,406
112,1781507043204557568,Right,0,112_rgb.jpg,112_a30.jpg,112_a50.jpg,112_a70.jpg,0.004,302,473,0.682,723,475,0.000,377,645,0.004,710,141
113,1781507043454557568,Right,0,113_rgb.jpg,113_a30.jpg,113_a50.jpg,113_a70.jpg,0.016,301,442,0.867,733,460,0.000,382,645,0.122,739,380
114,1781507043704557568,Left,0,114_rgb.jpg,114_a30.jpg,114_a50.jpg,114_a70.jpg,0.886,344,459,0.157,784,451,0.000,477,645,0.275,300,401
115,1781507043954557568,Left,1,115_rgb.jpg,115_a30.jpg,115_a50.jpg,115_a70.jpg,0.914,345,469,0.000,678,412,0.004,505,645,0.275,301,402
116,1781507044204557568,Teleoperator,1,116_rgb.jpg,116_a30.jpg,116_a50.jpg,116_a70.jpg,0.000,303,391,0.000,677,411,0.306,531,838,0.000,0,0
117,1781507044454557568,Teleoperator,1,117_rgb.jpg,117_a30.jpg,117_a50.jpg,117_a70.jpg,0.000,303,391,0.000,676,411,0.349,530,839,0.000,0,0
118,1781507044704557568,Teleoperator,1,118_rgb.jpg,118_a30.jpg,118_a50.jpg,118_a70.jpg,0.000,300,389,0.000,677,410,0.408,532,839,0.000,0,0
119,1781507044954557568,Teleoperator,1,119_rgb.jpg,119_a30.jpg,119_a50.jpg,119_a70.jpg,0.000,300,391,0.000,677,411,0.471,530,841,0.000,0,0
120,1781507045204557568,Left,0,120_rgb.jpg,120_a30.jpg,120_a50.jpg,120_a70.jpg,0.761,302,421,0.008,767,428,0.000,456,645,0.678,224,377
121,1781507045454557568,Left,0,121_rgb.jpg,121_a30.jpg,121_a50.jpg,121_a70.jpg,0.922,306,441,0.004,784,468,0.000,473,645,0.506,275,375
122,1781507045704557568,Left,0,122_rgb.jpg,122_a30.jpg,122_a50.jpg,122_a70.jpg,0.878,300,429,0.004,784,475,0.000,466,645,0.584,227,370
123,1781507045954557568,Left,0,123_rgb.jpg,123_a30.jpg,123_a50.jpg,123_a70.jpg,0.784,301,421,0.008,783,473,0.000,462,645,0.702,222,373
124,1781507046204557568,Right,0,124_rgb.jpg,124_a30.jpg,124_a50.jpg,124_a70.jpg,0.000,299,390,0.859,716,475,0.000,377,645,0.090,732,393
125,1781507046454557568,Right,0,125_rgb.jpg,125_a30.jpg,125_a50.jpg,125_a70.jpg,0.000,302,391,0.855,716,472,0.000,377,645,0.090,732,389
126,1781507046704557568,Right,0,126_rgb.jpg,126_a30.jpg,126_a50.jpg,126_a70.jpg,0.000,301,389,0.851,738,469,0.000,377,645,0.075,749,391
127,1781507046954557568,Right,0,127_rgb.jpg,127_a30.jpg,127_a50.jpg,127_a70.jpg,0.000,302,390,0.871,734,460,0.000,377,645,0.102,746,381
128,1781507047204557568,Right,0,128_rgb.jpg,128_a30.jpg,128_a50.jpg,128_a70.jpg,0.000,302,390,0.816,733,451,0.000,377,645,0.043,748,367
129,1781507047454557568,Right,0,129_rgb.jpg,129_a30.jpg,129_a50.jpg,129_a70.jpg,0.000,302,390,0.741,734,452,0.000,377,645,0.008,756,365
130,1781507047704557568,Left,0,130_rgb.jpg,130_a30.jpg,130_a50.jpg,130_a70.jpg,0.506,302,445,0.004,767,418,0.000,501,645,0.443,534,100
131,1781507047954557568,Others,0,131_rgb.jpg,131_a30.jpg,131_a50.jpg,131_a70.jpg,0.153,302,442,0.000,677,410,0.000,477,645,0.192,525,96
132,1781507048204557568,Left,0,132_rgb.jpg,132_a30.jpg,132_a50.jpg,132_a70.jpg,0.859,302,430,0.012,804,443,0.000,488,645,0.667,534,108
133,1781507048454557568,Left,1,133_rgb.jpg,133_a30.jpg,133_a50.jpg,133_a70.jpg,0.784,369,454,0.000,679,411,0.016,409,645,0.078,378,260
134,1781507048704557568,Teleoperator,1,134_rgb.jpg,134_a30.jpg,134_a50.jpg,134_a70.jpg,0.000,303,389,0.000,679,411,0.478,531,825,0.020,530,109
135,1781507048954557568,Teleoperator,1,135_rgb.jpg,135_a30.jpg,135_a50.jpg,135_a70.jpg,0.000,303,390,0.000,680,412,0.282,531,840,0.000,0,0
136,1781507049204557568,Teleoperator,1,136_rgb.jpg,136_a30.jpg,136_a50.jpg,136_a70.jpg,0.000,304,392,0.000,678,411,0.290,530,842,0.000,0,0
137,1781507049454557568,Teleoperator,1,137_rgb.jpg,137_a30.jpg,137_a50.jpg,137_a70.jpg,0.000,304,392,0.000,677,410,0.435,532,840,0.000,0,0
138,1781507049704557568,Others,0,138_rgb.jpg,138_a30.jpg,138_a50.jpg,138_a70.jpg,0.337,303,433,0.008,798,472,0.000,484,645,0.376,528,99
139,1781507049954557568,Left,0,139_rgb.jpg,139_a30.jpg,139_a50.jpg,139_a70.jpg,0.792,304,423,0.047,783,472,0.000,469,645,0.675,227,374
140,1781507050204557568,Left,0,140_rgb.jpg,140_a30.jpg,140_a50.jpg,140_a70.jpg,0.820,305,421,0.024,798,447,0.000,469,645,0.659,227,366
141,1781507050454557568,Left,0,141_rgb.jpg,141_a30.jpg,141_a50.jpg,141_a70.jpg,0.812,306,436,0.020,784,486,0.000,472,645,0.675,231,392
142,1781507050704557568,Right,0,142_rgb.jpg,142_a30.jpg,142_a50.jpg,142_a70.jpg,0.000,301,390,0.910,736,444,0.000,377,645,0.196,761,361
143,1781507050954557568,Right,0,143_rgb.jpg,143_a30.jpg,143_a50.jpg,143_a70.jpg,0.000,301,390,0.910,743,444,0.000,377,645,0.200,767,362
144,1781507051204557568,Left,0,144_rgb.jpg,144_a30.jpg,144_a50.jpg,144_a70.jpg,0.843,327,475,0.318,733,467,0.000,548,645,0.443,300,427
145,1781507051454557568,Left,0,145_rgb.jpg,145_a30.jpg,145_a50.jpg,145_a70.jpg,0.910,328,473,0.122,749,465,0.000,530,645,0.443,298,404
146,1781507051704557568,Right,0,146_rgb.jpg,146_a30.jpg,146_a50.jpg,146_a70.jpg,0.576,302,448,0.918,747,462,0.000,484,645,0.573,210,427
147,1781507051954557568,Left,0,147_rgb.jpg,147_a30.jpg,147_a50.jpg,147_a70.jpg,0.749,303,445,0.318,766,475,0.000,487,645,0.690,238,418
148,1781507052204557568,Left,0,148_rgb.jpg,148_a30.jpg,148_a50.jpg,148_a70.jpg,0.808,302,444,0.063,784,484,0.000,505,645,0.698,244,406
149,1781507052454557568,Left,0,149_rgb.jpg,149_a30.jpg,149_a50.jpg,149_a70.jpg,0.808,302,439,0.067,784,484,0.000,492,645,0.725,228,396
150,1781507052704557568,Left,0,150_rgb.jpg,150_a30.jpg,150_a50.jpg,150_a70.jpg,0.902,343,471,0.000,679,411,0.000,479,645,0.259,303,400
151,1781507052954557568,Left,0,151_rgb.jpg,151_a30.jpg,151_a50.jpg,151_a70.jpg,0.894,356,472,0.000,679,411,0.000,489,645,0.255,303,408
152,1781507053204557568,Left,0,152_rgb.jpg,152_a30.jpg,152_a50.jpg,152_a70.jpg,0.902,327,474,0.008,807,474,0.000,526,645,0.431,297,410
153,1781507053454557568,Left,0,153_rgb.jpg,153_a30.jpg,153_a50.jpg,153_a70.jpg,0.812,302,451,0.067,805,471,0.000,488,645,0.655,261,417
154,1781507053704557568,Left,0,154_rgb.jpg,154_a30.jpg,154_a50.jpg,154_a70.jpg,0.792,302,453,0.086,803,476,0.000,507,645,0.671,258,422
155,1781507053954557568,Left,0,155_rgb.jpg,155_a30.jpg,155_a50.jpg,155_a70.jpg,0.882,301,450,0.114,800,443,0.000,506,645,0.635,243,403
156,1781507054204557568,Left,0,156_rgb.jpg,156_a30.jpg,156_a50.jpg,156_a70.jpg,0.886,351,459,0.000,678,412,0.000,470,645,0.196,327,388
157,1781507054454557568,Left,0,157_rgb.jpg,157_a30.jpg,157_a50.jpg,157_a70.jpg,0.714,361,452,0.000,678,412,0.000,377,645,0.031,377,242
158,1781507054704557568,Left,0,158_rgb.jpg,158_a30.jpg,158_a50.jpg,158_a70.jpg,0.875,342,456,0.008,803,455,0.000,436,645,0.192,312,382
159,1781507054954557568,Left,0,159_rgb.jpg,159_a30.jpg,159_a50.jpg,159_a70.jpg,0.863,360,450,0.000,678,412,0.000,456,645,0.137,343,365
160,1781507055204557568,Left,0,160_rgb.jpg,160_a30.jpg,160_a50.jpg,160_a70.jpg,0.886,361,453,0.000,678,411,0.000,461,645,0.157,348,368
